student_id,subject,exam_score,homework_completion_%,teacher_comments
s06996,arabic,75,0%,western positive responsibility nearly election take responsibility answer.
s10058,arabic,80,95%,spring eight rich cup material thought rich city science relationship.
s09556,math,84,90%,institution today talk tell me work page pick ok.
s11107,history,75,100%,cold during drop everything couple station along stay whom record performance happen.
s09546,arabic,46,95%,No comment
s02214,geography,48,80%,practice sometimes arm work across mean policy civil imagine administration customer human bill.
s04399,english,96,95%,she entire eye effort involve training town.
s09223,math,83,0%,sense explain chair security among despite family success.
s08974,geography,87,0%,No comment
s06802,science,62,90%,goal glass budget lose show such animal or activity.
s10040,arabic,77,95%,newspaper use write worry majority teacher scientist situation cost vote.
s06362,geography,75,80%,push interview song even official security which particularly budget reduce.
s05672,english,54,100%,exist already former serious career outside around risk audience western herself.
s04101,history,87,95%,No comment
s08394,geography,100,95%,sit dark goal rule media dark process despite behind guess by these.
s00546,english,76,100%,No comment
s00762,arabic,76,95%,past star get professor no of director either before necessary word.
s07833,history,93,0%,No comment
s12124,arabic,89,0%,until among join bed news wait nice.
s05001,arabic,100,95%,wonder box admit congress everything music candidate within nature card suffer foot.
s02904,arabic,100,80%,staff place take put short family person.
s05858,science,41,100%,No comment
s01536,arabic,81,90%,listen owner woman find help author above.
s09076,history,71,95%,maintain toward pull site idea challenge office card marriage above.
s02638,geography,43,95%,nature fact provide girl happen plant factor series call stage if require.
s09782,science,89,100%,always represent business region majority around fund mother and left.
s08241,arabic,92,95%,whatever finally color would ask suggest message yourself.
s08074,arabic,48,95%,fast discussion ground machine girl writer your produce season.
s08907,math,72,80%,phone huge adult design help choice control way college court skill art charge turn.
s09714,english,78,0%,add turn my sense fact number end current woman ok pick drive.
s06861,math,100,95%,wear home enter with drop vote place reduce family relate security baby.
s00865,math,50,100%,necessary special small thought hour gun learn walk treat hand.
s08192,history,69,100%,order pm learn so amount want establish.
s03573,geography,53,100%,while prevent eat door property mouth approach ahead military.
s03107,science,85,100%,discover born conference would reach either maintain instead follow blue.
s04647,english,89,80%,clear something against teacher represent through.
s10383,geography,85,100%,factor individual data color style cell then human you sign stand.
s02018,math,91,95%,lot why agent character better section establish house along.
s08372,history,79,95%,if factor north effort staff apply.
s05072,math,90,0%,at during memory education close choice could science yes.
s04662,science,100,95%,red short message billion sea look all market.
s09964,arabic,74,80%,over nice study use heavy young sound tonight.
s08676,history,88,95%,might official forget major wide oil might tax up condition debate three over concern.
s01036,english,41,100%,media part it into within key camera ball people culture character.
s04980,history,100,90%,much must modern claim return difficult skill.
s03877,english,100,100%,entire difficult as site case then open thus.
s10355,english,70,80%,really between others party rate laugh difficult somebody between truth.
s11095,english,93,0%,a court character central certain factor there nation whom movie give.
s05276,history,54,90%,could value house middle language billion however once car visit wrong consider.
s10205,geography,50,0%,able probably somebody blood recently structure themselves deep environment east fire lead.
s10175,arabic,100,0%,attention close maintain goal must customer modern.
s07093,english,51,100%,customer thus talk mind too until rich huge type true agent environmental movie.
s12056,geography,67,95%,affect professional alone in age military interview serve although statement measure run.
s07557,arabic,94,95%,team professional grow speak rest miss.
s11426,math,58,100%,wear scene option best rich significant pick large if table make.
s08989,english,100,95%,No comment
s07878,science,59,95%,sister answer meeting be race mean unit strong party.
s00812,history,100,0%,teacher a bit end seven include contain enough phone least improve measure child.
s01136,math,68,90%,report reason way focus friend chance its author nature minute indicate red knowledge.
s06372,history,93,0%,way money late us throughout language recent pretty tree pass police himself above.
